,Close,Open,High,Low,Volume
2020-11-17 21:50:12.622397,147.01699227777644,151.63093845746232,156.15751469849573,150.73630426435008,52461122.41162132
2020-11-18 21:50:12.622397,149.00829038817278,151.637749485689,153.84200633698416,150.05680813285076,47381522.28002725
2020-11-19 21:50:12.622397,155.2462983803051,152.57313666958035,158.59424956805492,150.78462286286253,63219015.64722219
2020-11-20 21:50:12.622397,154.23667546425966,158.23244215272172,159.69103118110078,156.3410038451466,58591957.21620613
2020-11-23 21:50:12.622397,153.59289101493547,155.9601279605613,157.1697742094504,155.1014864633794,56121175.701902784
2020-11-24 21:50:12.622397,160.20139518052193,156.32779201829453,162.4993862780831,155.83323603937095,80131736.55557865
2020-11-25 21:50:12.622397,166.3453066923423,161.088241266805,167.35477417279122,159.66220972749,58124359.78920846
2020-11-26 21:50:12.622397,165.6843984336268,165.7335469229348,169.14192951694216,165.3844057174791,51952856.35250111
2020-11-27 21:50:12.622397,166.3672336516892,166.70840520434007,169.94814288608868,164.535731172952,53189314.02517
2020-11-30 21:50:12.622397,167.25721051537883,168.96467159675353,169.7649424799149,166.2768059486467,51113610.28591124
2020-12-01 21:50:12.622397,166.45741396201743,167.7666242299864,169.32078257926003,165.77092058539225,59877849.59338294
2020-12-02 21:50:12.622397,167.63251882886476,165.54829617179192,168.56373867034114,165.12250765859628,57460697.760056876
2020-12-03 21:50:12.622397,159.87955641115224,167.36731710185938,168.90489806871034,161.10584040169417,79153622.49941418
2020-12-04 21:50:12.622397,153.19118860927182,162.4740444665985,163.15215720892408,153.17911686067336,67332404.74362288
2020-12-07 21:50:12.622397,148.37073485684775,153.29973752150448,153.75210958548362,149.3814377232322,70065357.73584242
2020-12-08 21:50:12.622397,145.97300658455526,151.60741211915064,153.08682259437515,145.73312154364743,52047195.49322646
2020-12-09 21:50:12.622397,145.81338186033156,146.26007552235393,147.6034076857025,145.50412136951314,58404080.76847653
2020-12-10 21:50:12.622397,142.06721920532868,145.95339851612508,147.77156536295448,140.6559821240984,58705365.452893615
2020-12-11 21:50:12.622397,137.12103456195734,141.84764262292953,141.92556536437866,135.7280510044928,62695846.518503934
2020-12-14 21:50:12.622397,142.40627989757792,137.21259089705777,143.41676617162886,135.3073356832378,69243259.09182301
